,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Mühərrikin gücü,Yanacaq növü,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Qiymət,K,r,e,d,i,t
0,Bakı,Chevrolet,Nexia,2021,Sedan,Gümüşü,1.5 L,106 a.g.,Benzin,0 km,Mexaniki,Ön,Bəli,19 400 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
1,Bakı,Jeep,Grand Cherokee,2012,Offroader / SUV,Ağ,3.6 L,286 a.g.,Benzin,32 800 km,Avtomat,Tam,Xeyr,27 800 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
2,Bakı,Lexus,ES 300h,2022,Sedan,Ağ,2.5 L,215 a.g.,Hibrid,0 km,Avtomat,Ön,Bəli,65 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
3,Bakı,Land Rover,Range Rover,2019,Offroader / SUV,Ağ,3.0 L,340 a.g.,Benzin,49 000 km,Avtomat,Tam,Xeyr,115 000 $,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
4,Bakı,Chevrolet,Malibu,2016,Sedan,Yaş Asfalt,1.5 L,163 a.g.,Benzin,99 000 km,Avtomat,Ön,Xeyr,19 800 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
5,Bakı,Chevrolet,Cruze,2015,Sedan,Tünd qırmızı,1.4 L,141 a.g.,Benzin,127 000 km,Avtomat,Ön,Xeyr,14 800 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
6,Bakı,Toyota,RAV 4,2011,Offroader / SUV,Yaş Asfalt,2.5 L,182 a.g.,Benzin,122 310 km,Avtomat,Tam,Xeyr,25 700 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
7,Bakı,Opel,Astra,2009,Hetçbek / Liftbek,Yaş Asfalt,1.4 L,90 a.g.,Benzin,210 000 km,Mexaniki,Ön,Xeyr,11 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
8,Bakı,Mercedes,Vito 115,2010,Minivan,Qara,2.2 L,150 a.g.,Dizel,456 000 km,Mexaniki,Arxa,Xeyr,31 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
9,Bakı,LADA (VAZ),2107,2005,Sedan,Göy,1.6 L,75 a.g.,Benzin,6 000 km,Mexaniki,Arxa,Xeyr,5 400 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
10,Bakı,Volkswagen,Passat CC,2012,Sedan,Ağ,2.0 L,200 a.g.,Benzin,178 000 km,Avtomat,Ön,Xeyr,18 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
11,Bakı,Hyundai,Santa Fe,2009,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,141 000 km,Avtomat,Ön,Xeyr,22 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
12,Bakı,Mercedes,C 240,1998,Sedan,Gümüşü,2.4 L,170 a.g.,Benzin,309 000 km,Avtomat,Arxa,Xeyr,9 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
13,Bakı,Toyota,Prado,2010,Offroader / SUV,Ağ,2.7 L,167 a.g.,Benzin,100 000 km,Avtomat,Tam,Xeyr,26 000 $,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
14,Bakı,Kia,Sorento,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,165 000 km,Avtomat,Ön,Xeyr,25 900 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
15,Bakı,Mercedes,C 220,1996,Sedan,Göy,2.2 L,150 a.g.,Benzin,220 000 km,Avtomat,Arxa,Xeyr,11 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
16,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.4 L,175 a.g.,Benzin,142 142 km,Avtomat,Tam,Xeyr,33 700 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
17,Sumqayıt,Hyundai,Sonata,2002,Sedan,Ağ,2.4 L,150 a.g.,Benzin,318 220 km,Avtomat,Ön,Xeyr,8 500 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
18,Bakı,LADA (VAZ),2107,2011,Sedan,Ağ,1.6 L,75 a.g.,Benzin,88 354 km,Mexaniki,Arxa,Xeyr,8 000 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
19,Salyan,Renault,Symbol,2008,Sedan,Gümüşü,1.4 L,98 a.g.,Benzin,11 000 km,Mexaniki,Arxa,Xeyr,6 200 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
20,Bakı,Mitsubishi,Pajero,2007,Offroader / SUV,Ağ,3.0 L,190 a.g.,Benzin,251 557 km,Avtomat,Tam,Xeyr,24 600 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
21,Bakı,Nissan,Sunny,2014,Sedan,Ağ,1.5 L,99 a.g.,Benzin,111 115 km,Avtomat,Ön,Xeyr,17 600 AZN,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir,Kreditdədir
22,Goranboy,LADA (VAZ),2107,1990,Sedan,Ağ,1.5 L,65 a.g.,Benzin,455 646 km,Mexaniki,Tam,Xeyr,2 850 AZN,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür,Barter mümkündür
